,Pipe_Name,Size_Proposed,"Pipe_Length
(m)_Proposed",PS4 - TDC $/m_Proposed,"Total Cost
($ USD)_Proposed",Size_Existing,"Pipe_Length
(m)_Existing",PS4 - TDC $/m_Existing,"Total Cost
($ USD)_Existing",,Size_Proposed,,Our lengths,Their lengths,Our rate,Their rate
90,GHD_014.500269.1,96,117.566536,362.5870703,42628.10585,,,,,,96,373.323695,1020.437691,647, $362.59 , $363.00 
119,GHD_015.700110X.1,96,227.553101,362.5870703,82507.81223,,,,,,100,647.113996,,,,
136,GHD_014.500217.1,96,28.204058,362.5870703,10226.42676,,,,,,141,16.432392,1753.599205,1595, $433.89 , $434.00 
149,GHD_014.GHD_013.1,100,126.489136,362.5870703,45863.32525,,,,,,150,1737.166813,,,,
150,GHD_012.GHD_010.1,100,105.926865,362.5870703,38407.71165,,,,,,225,796.862483,796.862483,813, $546.16 , $546.00 
151,GHD_010.GHD_009.1,100,89.281731,362.5870703,32372.40127,,,,,,375,44.892572,44.892572,35," $1,014.94 "," $1,015.00 "
152,GHD_013.GHD_011.1,100,107.273987,362.5870703,38896.16067,,,,,,,,,,,
153,8101040.GHD_011.1,100,62.160023,362.5870703,22538.42063,,,,,,,,,," $1,611,642.80 "," $1,416,000.00 "
154,GHD_010.GHD_008.1,100,44.480171,362.5870703,16127.93489,,,,,,,,,,,
155,GHD_007.GHD_012.1,100,111.502083,362.5870703,40429.21361,,,,,,,,,,,
196,8093043X.8093043Y.1,141,1,433.8908038,433.8908038,,,,,,,,,,,
198,GHD_016.500265.1,141,3.128672,433.8908038,1357.502009,,,,,,,,,,,
205,8058985X.PF02.1,141,12.30372,433.8908038,5338.47096,,,,,,,,,,,
230,500233.700135X.1,150,85.420578,433.8908038,37063.20325,75,85.420578,362.5870703,30972.39712,,,,,,,
231,8087736.8087737.1,150,5.013445,433.8908038,2175.287681,103,5.013445,362.5870703,1817.810335,,,,,,,
232,8058390X.507012.1,150,810.065552,433.8908038,351479.9935,,,,,,,,,,,
233,8087726.8087736.1,150,11.546052,433.8908038,5009.725783,96,11.546052,362.5870703,4186.449168,,,,,,,
234,GHD_007.GHD_015.1,150,36.130146,433.8908038,15676.53809,,,,,,,,,,,
235,GHD_007.8087737.1,150,84.022598,433.8908038,36456.63258,,,,,,,,,,,
236,500244.GHD_015.1,150,160.850098,433.8908038,69791.37831,,,,,,,,,,,
237,8059774Y.507009.1,150,13.222408,433.8908038,5737.081235,101,13.222408,362.5870703,4794.274179,,,,,,,
238,507007.8059774X.1,150,527.378174,433.8908038,228824.5398,96,527.378174,362.5870703,191220.507,,,,,,,
239,700135Y.500244.1,150,3.517762,433.8908038,1526.324582,75,3.517762,362.5870703,1275.495018,,,,,,,
265,500207.507747.1,225,30.108805,546.1562565,16444.11223,143,30.108805,433.8908038,13063.9336,,,,,,,
266,507004.PF03.1,225,288.627991,546.1562565,157635.9831,96,288.627991,362.5870703,104652.7777,,,,,,,
267,GHD_022.700159Y.1,225,7.311912,546.1562565,3993.446486,,,,,,,,,,,
268,507003.GHD_018.1,225,1.219395,546.1562565,665.9802084,,,,,,,,,,,
269,500246.GHD_019.1,225,1.242612,546.1562565,678.6603182,,,,,,,,,,,
270,507005.GHD_021.1,225,2.236216,546.1562565,1221.323359,,,,,,,,,,,
271,GHD_016.GHD_023.1,225,1.920948,546.1562565,1049.137769,,,,,,,,,,,
272,500237.700114X.1,225,26.569807,546.1562565,14511.26633,143,26.569807,433.8908038,11528.39492,,,,,,,
273,507006.GHD_024.1,225,2.385172,546.1562565,1302.676611,,,,,,,,,,,
274,507007.700160X.1,225,141.772751,546.1562565,77430.07496,96,141.772751,362.5870703,51404.96643,,,,,,,
275,507747.8058986X.1,225,69.551308,546.1562565,37985.88201,96,69.551308,362.5870703,25218.405,,,,,,,
276,8058389Y.507004.1,225,3.24233,546.1562565,1770.818815,96,3.24233,362.5870703,1175.626936,,,,,,,
277,700160Y.507004.1,225,3.114063,546.1562565,1700.764991,96,3.114063,362.5870703,1129.11898,,,,,,,
278,PF03.700159X.1,225,9.912926,546.1562565,5414.006555,96,9.912926,362.5870703,3594.298796,,,,,,,
279,507010.8058389X.1,225,13.021284,546.1562565,7111.655724,96,13.021284,362.5870703,4721.349217,,,,,,,
280,GHD_006.8058986Y.1,225,181.532715,546.1562565,99145.22806,96,181.532715,362.5870703,65821.41529,,,,,,,
281,700114Y.500207.1,225,3.218399,546.1562565,1757.74875,143,3.218399,433.8908038,1396.433729,,,,,,,
282,GHD_017.8058985X.1,225,2.359858,546.1562565,1288.851211,,,,,,,,,,,
283,GHD_020.700158Y.1,225,2.364339,546.1562565,1291.298537,,,,,,,,,,,
284,507006.GHD_006.1,225,5.149652,546.1562565,2812.514659,96,5.149652,362.5870703,1867.197232,,,,,,,
289,500246.700157X.1,375,1.973125,1014.940377,2002.604231,141,1.973125,433.8908038,856.1207922,,,,,,,
290,GHD_004.GHD_002.1,375,10.240313,1014.940377,10393.30713,186,10.240313,433.8908038,4443.177639,,,,,,,
291,700157Y.507003.1,375,2.213808,1014.940377,2246.883125,141,2.213808,433.8908038,960.5509325,,,,,,,
292,GHD_002.500246.1,375,14.871317,1014.940377,15093.50008,186,14.871317,433.8908038,6452.527686,,,,,,,
293,8105873Y.507003.1,375,9.580598,1014.940377,9723.735743,141,9.580598,433.8908038,4156.933367,,,,,,,
294,GHD_016.507005.1,375,3.752948,1014.940377,3809.018457,,,,,,,,,,,
295,507005.8105873X.1,375,2.260463,1014.940377,2294.235169,141,2.260463,433.8908038,980.794108,,,,,,,
